candidate,debt ($)
"SHO, MUHAMMAD",1.0
"WILLIAMS, ELAINE WHIGHAM",30.0
"LUTZ, RANDALL ROY",40.0
"MALDONADO, JOSEPH A",188.0
"UHRIC, RAYMOND JOHN",190.0
"NEWLAND, K. ROSS",600.0
"BEEBE, JAMES WESLEY DR",1000.0
"CARTER, WILLIE FELIX",1250.0
"IWACHIW, WALTER N",2000.0
"KREML, WILLIAM P",2207.28
"DOYLE, COLIN B",2276.15
"O'MALLEY, MARTIN JOSEPH",2323.32
"MESSINA, PETER",2659.9
"CARROLL, JERRY LEON",3719.0
"FELLURE, LOWELL JACKSON",3762.0
"JEWELL, ROGER HENRY",4325.0
"DEPEW, JENNIFER ROBIN MS R.D.",5001.0
"ZELAYA, DANNY",6000.0
"COSTELLO, REGIS J",7837.13
"STAGG, SILVIA",8296.0
"SOOD, AJAY",9810.0
"MESPLAY, KENT PHILIP",18683.0
"HUCKABEE, MIKE",19204.44
"KELSO, LLOYD THOMAS",25874.0
"STEIN, JILL",40000.0
"GRAHAM, LINDSEY O",43040.7
"VALENTINE, JAMES",52600.0
"BUSH, JEB",261702.99
"CARSON, BENJAMIN S SR MD",266883.5
"GILMORE, JAMES S III",291350.5
"PAUL, RAND",317365.37
"CHAFEE, LINCOLN DAVENPORT MR.",363694.14
"CHRISTIE, CHRISTOPHER J",383517.79
"CLINTON, HILLARY RODHAM",612248.13
"WALKER, SCOTT",898676.31
"SANTORUM, RICHARD J.",1008010.06
"JOHNSON, GARY",1538118.73
"WILSON, WILLIE",1778572.46
"RUBIO, MARCO",2067041.07
"DE  LA  FUENTE, ROQUE ROCKY",5421227.54
"TRUMP, DONALD J",43454544.39
